date,symbol,cr0,ps0,hvl0,gw0,d1_min,d1_max
2026-01-20,ES,6900.0,6750.0,6930.0,,6769.49,6905.51
2026-01-21,ES,6950.0,6860.0,6900.0,,6855.79,6975.71
2026-01-22,ES,6950.0,6900.0,6925.0,,6881.21,6999.29
2026-01-23,ES,7000.0,6900.0,6950.0,,6873.59,6993.91
2026-01-26,ES,7000.0,6950.0,6950.0,,6920.96,7033.04
2026-01-27,ES,7050.0,6950.0,6965.0,,6952.86,7066.14
2026-01-28,ES,7050.0,6960.0,6995.0,,6960.29,7073.21
2026-01-29,ES,7000.0,6950.0,6995.0,,6930.92,7048.58
2026-01-30,ES,7025.0,6950.0,6995.0,,6898.63,7023.87
2026-02-02,ES,7025.0,6970.0,6985.0,,6944.14,7062.36
2026-02-03,ES,7000.0,6900.0,6950.0,,6875.06,7002.44
2026-02-04,ES,7000.0,6900.0,6950.0,,6862.61,6994.39
2026-02-05,ES,6920.0,6800.0,6925.0,,6711.65,6865.85
2026-02-06,ES,7000.0,6850.0,6920.0,,6882.13,7009.37
2026-02-09,ES,7000.0,6970.0,6925.0,,6922.67,7045.33
2026-02-10,ES,6990.0,6925.0,6945.0,,6908.66,7032.34
2026-02-11,ES,7000.0,6900.0,6955.0,,6900.99,7025.01
2026-02-12,ES,6940.0,6800.0,6930.0,,6790.67,6932.83
2026-02-13,ES,6905.0,6850.0,6930.0,,6773.4,6917.1
2026-02-17,ES,6900.0,6800.0,6875.0,,6791.52,6932.98
2026-02-18,ES,6900.0,6875.0,6900.0,,6822.92,6961.08
2026-02-19,ES,6895.0,6800.0,6900.0,,6786.05,6958.45
2026-02-20,ES,6950.0,6800.0,6900.0,,6858.96,6990.54
2026-02-23,ES,6900.0,6850.0,6875.0,,6783.65,6932.85
2026-02-24,ES,6925.0,6870.0,6900.0,,6831.07,6968.93
2026-02-25,ES,7000.0,6850.0,6900.0,,6916.33,7034.67
2026-02-26,ES,6950.0,6925.0,6925.0,,6838.13,6969.37
2026-02-27,ES,6950.0,6800.0,6900.0,,6805.58,6944.92
2026-03-02,ES,6940.0,6750.0,6900.0,,6809.87,6959.13
2026-03-03,ES,6850.0,6725.0,6815.0,,6728.59,6899.41
2026-03-04,ES,7075.0,6800.0,6875.0,,6805.65,6952.35
2026-03-05,ES,6860.0,6825.0,6855.0,,6740.67,6908.83
2026-03-06,ES,6900.0,6600.0,6875.0,,6637.85,6842.15
2026-03-09,ES,6855.0,6700.0,6800.0,,6697.95,6889.55
2026-03-10,ES,6860.0,6750.0,6810.0,,6703.71,6890.79
2026-03-11,ES,6800.0,6700.0,6800.0,,6678.12,6861.38
2026-03-12,ES,6720.0,6600.0,6800.0,,6577.84,6792.66
2026-03-13,ES,6960.0,6500.0,6875.0,,6580.45,6769.55
2026-03-16,ES,6930.0,6550.0,6875.0,,6666.94,6832.56
2026-03-17,ES,6830.0,6550.0,6800.0,,6696.97,6851.53
2026-03-18,ES,7150.0,6550.0,6800.0,,6575.99,6752.01
2026-03-19,ES,6720.0,6600.0,6700.0,,6586.19,6754.81
2026-03-20,ES,6720.0,6400.0,6800.0,,6498.55,6678.45
2026-03-23,ES,6750.0,6575.0,6700.0,,6544.94,6720.56
2026-03-24,ES,6725.0,6500.0,6675.0,,6559.15,6733.35
2026-03-25,ES,6700.0,6600.0,6700.0,,6554.62,6727.38
2026-03-26,ES,6590.0,6500.0,6700.0,,6440.35,6630.65
2026-03-27,ES,6750.0,6400.0,6700.0,,6293.42,6502.58
2026-03-30,ES,6600.0,6300.0,6550.0,,6281.59,6484.91
2026-03-31,ES,6620.0,6450.0,6550.0,,6481.97,6653.03
2026-04-01,ES,6720.0,6500.0,6600.0,,6534.22,6700.28
2026-04-02,ES,6700.0,6550.0,6605.0,,6542.7,6705.3
2026-04-06,ES,6700.0,6600.0,6605.0,,6569.81,6731.69
2026-04-07,ES,6725.0,6500.0,6615.0,,6578.69,6748.31
2026-04-08,ES,6900.0,6700.0,6715.0,,6744.6,6887.9
2026-04-09,ES,6900.0,6775.0,6705.0,,6793.38,6928.12
2026-04-10,ES,6900.0,6750.0,6705.0,,6797.71,6929.79
2026-04-13,ES,6950.0,6850.0,6770.0,,6862.67,6992.33
2026-04-14,ES,7000.0,6950.0,6795.0,,6940.16,7068.34
2026-04-15,ES,7080.0,7025.0,6870.0,,6992.87,7123.63
2026-04-16,ES,7100.0,7040.0,6945.0,,7013.61,7142.89
2026-04-17,ES,7170.0,6900.0,6945.0,,7098.57,7229.93
2026-04-20,ES,7200.0,7100.0,7120.0,,7083.59,7220.41
2026-04-21,ES,7200.0,7030.0,7115.0,,7052.76,7191.74
2026-04-22,ES,7200.0,7075.0,7120.0,,7095.66,7233.34
2026-04-23,ES,7200.0,7125.0,7135.0,,7062.28,7202.72
2026-04-24,ES,7225.0,7000.0,7045.0,,7125.52,7265.48
2026-04-27,ES,7250.0,7170.0,7185.0,,7136.68,7273.82
2026-04-28,ES,7200.0,7100.0,7145.0,,7104.66,7240.34
2026-04-29,ES,7200.0,7125.0,7145.0,,7071.32,7211.68
2026-04-30,ES,7250.0,7100.0,7170.0,,7181.61,7311.89
2026-05-01,ES,7300.0,7150.0,7170.0,,7181.55,7313.95
2026-05-04,ES,7245.0,7200.0,7220.0,,7156.45,7294.05
2026-05-05,ES,7300.0,7260.0,7265.0,,7228.67,7362.33
2026-05-06,ES,7400.0,7320.0,7220.0,,7318.4,7455.1
2026-05-07,ES,7425.0,7300.0,7345.0,,7284.51,7419.99
2026-05-08,ES,7415.0,7275.0,7285.0,,7353.06,7487.94
2026-05-11,ES,7450.0,7400.0,7400.0,,7363.87,7506.13
2026-05-12,ES,7450.0,7380.0,7385.0,,7350.84,7490.16
2026-05-13,ES,7500.0,7450.0,7365.0,,7406.01,7545.99
2026-05-14,ES,7600.0,7490.0,7365.0,,7461.63,7584.37
2026-05-15,ES,7460.0,7400.0,7420.0,,7347.52,7488.48
2026-05-18,ES,7460.0,7350.0,7425.0,,7351.69,7488.81
2026-05-19,ES,7415.0,7350.0,7385.0,,7302.69,7442.31
2026-05-20,ES,7500.0,7350.0,7405.0,,7359.33,7507.17
2026-05-21,ES,7520.0,7400.0,7415.0,,7402.03,7531.97
2026-05-22,ES,7590.0,7400.0,7395.0,,7419.65,7548.85
2026-05-26,ES,7580.0,7515.0,7495.0,,7467.16,7598.34
2026-05-27,ES,7580.0,7540.0,7495.0,,7492.12,7616.38
2026-05-28,ES,7600.0,7585.0,7495.0,,7527.43,7648.07
2026-05-29,ES,7630.0,7500.0,7495.0,,7532.75,7648.75
2026-06-01,ES,7650.0,7550.0,7595.0,,7547.66,7669.34
2026-06-02,ES,7650.0,7620.0,7595.0,,7569.56,7686.94
2026-06-03,ES,7600.0,7550.0,7575.0,,7486.12,7608.88
2026-06-04,ES,7650.0,7575.0,7585.0,,7530.97,7644.53
2026-06-05,ES,7600.0,7480.0,7545.0,,7283.42,7452.58
2026-06-08,ES,7485.0,7400.0,7450.0,,7334.75,7489.75
2026-06-09,ES,7450.0,7300.0,7410.0,,7304.85,7475.15
2026-06-10,ES,7375.0,7380.0,7400.0,,7164.25,7369.75
2026-06-11,ES,7400.0,7275.0,7450.0,,7384.13,7534.87
2026-06-12,ES,7400.0,7275.0,7450.0,,7428.89,7568.11
2026-06-15,ES,7700.0,7570.0,7515.0,,7560.78,7687.72
2026-06-16,ES,7700.0,7490.0,7515.0,,7518.48,7647.52
2026-06-17,ES,7470.0,7490.0,7545.0,,7440.86,7581.14
2026-06-18,ES,7560.0,7500.0,7545.0,,7507.81,7641.69
2026-06-22,ES,7580.0,7540.0,7545.0,,7471.6,7609.9
2026-06-23,ES,7475.0,7400.0,7510.0,,7370.77,7520.23
2026-06-24,ES,7500.0,7450.0,7490.0,,7405.53,7549.47
2026-06-25,ES,7540.0,7450.0,7475.0,,7359.52,7507.98
2026-06-26,ES,7460.0,7400.0,7490.0,,7324.25,7470.25
2026-06-29,ES,7525.0,7400.0,7460.0,,7428.94,7558.06
2026-06-30,ES,7600.0,7475.0,7505.0,,7472.61,7611.39
2026-07-01,ES,7610.0,7525.0,7525.0,,7462.13,7603.37
2026-07-02,ES,7600.0,7525.0,7525.0,,7462.24,7583.76
2026-07-06,ES,7600.0,7500.0,7515.0,,7535.52,7657.98
2026-07-07,ES,7550.0,7525.0,7545.0,,7488.47,7615.03
2026-07-08,ES,7575.0,7500.0,7520.0,,7447.65,7583.35
2026-07-09,ES,7600.0,7500.0,7520.0,,7523.78,7648.72
2026-07-10,ES,7600.0,7410.0,7545.0,,7564.35,7687.65
2026-07-13,ES,7630.0,7540.0,7545.0,,7487.97,7620.53
